Year,Month,Council,Applications,Assessments,pop
2002,4,Aberdeen City,105,55,210680
2002,5,Aberdeen City,125,70,210680
2002,6,Aberdeen City,115,65,210680
2002,7,Aberdeen City,115,70,210680
2002,8,Aberdeen City,135,65,210680
2002,9,Aberdeen City,125,75,210680
2002,10,Aberdeen City,150,65,210680
2002,11,Aberdeen City,115,50,210680
2002,12,Aberdeen City,100,35,210680
2003,1,Aberdeen City,145,90,209280
2003,2,Aberdeen City,140,75,209280
2003,3,Aberdeen City,165,65,209280
2003,4,Aberdeen City,120,55,209280
2003,5,Aberdeen City,150,50,209280
2003,6,Aberdeen City,140,60,209280
2003,7,Aberdeen City,150,70,209280
2003,8,Aberdeen City,155,90,209280
2003,9,Aberdeen City,165,70,209280
2003,10,Aberdeen City,165,80,209280
2003,11,Aberdeen City,130,60,209280
2003,12,Aberdeen City,115,45,209280
2004,1,Aberdeen City,180,70,207820
2004,2,Aberdeen City,150,90,207820
2004,3,Aberdeen City,185,65,207820
2004,4,Aberdeen City,115,50,207820
2004,5,Aberdeen City,150,55,207820
2004,6,Aberdeen City,140,55,207820
2004,7,Aberdeen City,135,60,207820
2004,8,Aberdeen City,150,60,207820
2004,9,Aberdeen City,160,50,207820
2004,10,Aberdeen City,120,50,207820
2004,11,Aberdeen City,120,75,207820
2004,12,Aberdeen City,95,40,207820
2005,1,Aberdeen City,135,60,208690
2005,2,Aberdeen City,140,85,208690
2005,3,Aberdeen City,120,100,208690
2005,4,Aberdeen City,155,70,208690
2005,5,Aberdeen City,195,100,208690
2005,6,Aberdeen City,165,105,208690
2005,7,Aberdeen City,175,85,208690
2005,8,Aberdeen City,190,125,208690
2005,9,Aberdeen City,165,80,208690
2005,10,Aberdeen City,160,85,208690
2005,11,Aberdeen City,170,105,208690
2005,12,Aberdeen City,100,65,208690
2006,1,Aberdeen City,185,85,209630
2006,2,Aberdeen City,160,75,209630
2006,3,Aberdeen City,185,95,209630
2006,4,Aberdeen City,130,90,209630
2006,5,Aberdeen City,190,120,209630
2006,6,Aberdeen City,230,135,209630
2006,7,Aberdeen City,175,100,209630
2006,8,Aberdeen City,225,135,209630
2006,9,Aberdeen City,195,120,209630
2006,10,Aberdeen City,200,115,209630
2006,11,Aberdeen City,170,105,209630
2006,12,Aberdeen City,75,60,209630
2007,1,Aberdeen City,185,110,212470
2007,2,Aberdeen City,135,120,212470
2007,3,Aberdeen City,65,65,212470
2007,4,Aberdeen City,195,115,212470
2007,5,Aberdeen City,250,130,212470
2007,6,Aberdeen City,245,135,212470
2007,7,Aberdeen City,200,130,212470
2007,8,Aberdeen City,250,145,212470
2007,9,Aberdeen City,190,105,212470
2007,10,Aberdeen City,200,110,212470
2007,11,Aberdeen City,185,85,212470
2007,12,Aberdeen City,120,85,212470
2008,1,Aberdeen City,255,110,214020
2008,2,Aberdeen City,175,105,214020
2008,3,Aberdeen City,225,105,214020
2008,4,Aberdeen City,225,125,214020
2008,5,Aberdeen City,235,165,214020
2008,6,Aberdeen City,215,150,214020
2008,7,Aberdeen City,225,140,214020
2008,8,Aberdeen City,250,105,214020
2008,9,Aberdeen City,240,155,214020
2008,10,Aberdeen City,260,250,214020
2008,11,Aberdeen City,185,200,214020
2008,12,Aberdeen City,140,130,214020
2009,1,Aberdeen City,295,170,217020
2009,2,Aberdeen City,250,195,217020
2009,3,Aberdeen City,305,210,217020
2009,4,Aberdeen City,250,185,217020
2009,5,Aberdeen City,260,160,217020
2009,6,Aberdeen City,235,190,217020
2009,7,Aberdeen City,215,170,217020
2009,8,Aberdeen City,195,150,217020
2009,9,Aberdeen City,190,160,217020
2009,10,Aberdeen City,200,130,217020
2009,11,Aberdeen City,200,135,217020
2009,12,Aberdeen City,115,115,217020
2010,1,Aberdeen City,235,130,219730
2010,2,Aberdeen City,235,145,219730
2010,3,Aberdeen City,280,180,219730
2010,4,Aberdeen City,310,120,219730
2010,5,Aberdeen City,305,165,219730
2010,6,Aberdeen City,310,210,219730
2010,7,Aberdeen City,295,235,219730
2010,8,Aberdeen City,350,180,219730
2010,9,Aberdeen City,280,170,219730
2010,10,Aberdeen City,245,165,219730
2010,11,Aberdeen City,220,180,219730
2010,12,Aberdeen City,145,90,219730
2011,1,Aberdeen City,305,150,222460
2011,2,Aberdeen City,295,185,222460
2011,3,Aberdeen City,345,185,222460
2011,4,Aberdeen City,130,160,222460
2011,5,Aberdeen City,145,130,222460
2011,6,Aberdeen City,140,115,222460
2011,7,Aberdeen City,145,95,222460
2011,8,Aberdeen City,145,135,222460
2011,9,Aberdeen City,115,80,222460
2011,10,Aberdeen City,115,75,222460
2011,11,Aberdeen City,110,105,222460
2011,12,Aberdeen City,85,70,222460
2012,1,Aberdeen City,140,80,224910
2012,2,Aberdeen City,145,90,224910
2012,3,Aberdeen City,90,95,224910
2012,4,Aberdeen City,105,100,224910
2012,5,Aberdeen City,145,125,224910
2012,6,Aberdeen City,135,105,224910
2012,7,Aberdeen City,95,95,224910
2012,8,Aberdeen City,135,105,224910
2012,9,Aberdeen City,110,95,224910
2012,10,Aberdeen City,135,125,224910
2012,11,Aberdeen City,135,110,224910
2012,12,Aberdeen City,65,80,224910
2013,1,Aberdeen City,125,75,227070
