Year,Month,Homeless.app,rough.3mths,rough.last.nite,Single.Male,Single.Female,Single.Male.Parent,Single.Female.Parent,Couple.Only,Couple.and.Children,Other,Other.and.Children,Homeless.assess,Assess.repeats,pop
2002,4,4295,550,415,1919,874,95,874,176,231,75,50,3340,295,5066000
2002,5,4230,520,400,1843,889,90,929,160,210,55,55,3250,300,5066000
2002,6,3910,570,435,1722,771,95,856,160,175,80,50,2915,295,5066000
2002,7,4435,595,475,1887,901,90,976,190,250,80,60,3455,350,5066000
2002,8,4330,600,460,1935,875,95,905,165,225,75,55,3285,330,5066000
2002,9,4290,565,490,1978,834,110,854,175,210,75,55,3260,365,5066000
2002,10,4875,685,535,2290,982,120,927,190,240,55,70,3720,375,5066000
2002,11,4425,575,460,2012,931,90,756,250,225,105,55,3435,320,5066000
2002,12,3195,455,350,1638,641,65,521,130,125,40,35,2565,320,5066000
2003,1,4960,575,465,2245,973,110,1038,220,240,75,60,3530,330,5068500
2003,2,4490,510,390,2082,861,95,891,190,235,85,50,3370,305,5068500
2003,3,4655,520,420,2107,921,130,916,215,225,65,75,3535,315,5068500
2003,4,4510,550,410,2028,904,115,889,195,235,80,65,3250,310,5068500
2003,5,4435,515,410,2028,844,110,894,190,210,85,75,3405,330,5068500
2003,6,4645,590,460,2115,877,110,917,225,225,105,70,3555,345,5068500
2003,7,5190,625,510,2337,1011,135,996,245,280,105,80,3795,370,5068500
2003,8,4765,570,455,2135,940,115,965,195,240,90,85,3655,335,5068500
2003,9,4780,630,490,2152,966,115,976,195,230,75,70,3645,390,5068500
2003,10,4800,635,505,2143,964,120,954,220,235,80,85,3720,345,5068500
2003,11,4215,500,370,1980,820,125,770,170,220,65,65,3255,315,5068500
2003,12,3425,450,345,1695,670,85,580,150,155,50,40,2750,290,5068500
2004,1,5175,555,440,2268,1062,140,1012,249,264,105,75,3485,335,5084300
2004,2,4980,520,405,2205,1020,140,990,240,220,80,85,3725,275,5084300
2004,3,5625,585,470,2409,1107,150,1182,284,294,105,95,4275,305,5084300
2004,4,4890,490,375,2087,1016,150,991,225,260,75,85,3540,300,5084300
2004,5,4570,470,375,1910,920,120,975,245,260,75,65,3280,300,5084300
2004,6,5040,490,395,2122,1006,150,1086,225,285,75,90,3585,315,5084300
2004,7,4955,500,385,2095,1040,150,1035,245,240,85,65,3560,315,5084300
2004,8,5230,545,410,2116,1068,170,1078,264,344,105,85,3540,285,5084300
2004,9,4790,475,375,2034,977,160,972,235,246,90,75,3545,280,5084300
2004,10,4500,450,315,1875,960,155,910,225,215,90,70,3385,310,5084300
2004,11,4605,500,320,2026,953,150,878,215,234,80,70,3535,265,5084300
2004,12,3290,370,270,1535,620,85,625,185,155,50,35,2625,240,5084300
2005,1,5240,470,315,2204,1077,180,1077,271,271,95,65,3280,310,5110200
2005,2,4935,465,330,2071,1008,165,1013,249,254,100,75,3645,285,5110200
2005,3,5245,465,290,2236,1088,176,1088,251,246,90,70,3945,290,5110200
2005,4,5075,410,290,2153,1034,186,1079,226,266,65,65,3635,300,5110200
2005,5,5015,455,300,2068,1079,180,989,255,255,105,85,3545,275,5110200
2005,6,5220,465,335,2158,1124,210,1044,235,270,80,100,3830,335,5110200
2005,7,4790,450,335,2008,1004,155,999,210,255,85,75,3290,255,5110200
2005,8,5450,555,385,2308,1124,210,1124,225,255,110,95,4080,315,5110200
2005,9,5035,490,345,2144,1072,195,947,235,250,100,90,3605,280,5110200
2005,10,4985,520,370,2182,1031,180,961,255,225,75,75,3525,290,5110200
2005,11,5140,520,370,2258,1024,190,999,260,230,95,85,3815,310,5110200
2005,12,3475,350,235,1660,705,130,570,155,155,55,45,2775,245,5110200
2006,1,5480,475,305,2305,1070,245,1105,275,310,90,80,3460,285,5133000
2006,2,5155,445,310,2204,1044,201,984,246,281,105,90,3720,290,5133000
2006,3,5510,430,310,2334,1127,240,1062,265,281,125,75,4070,295,5133000
2006,4,4555,390,295,1928,924,206,874,211,241,90,80,3090,245,5133000
2006,5,5330,455,325,2238,1094,205,1039,275,295,100,85,3820,295,5133000
2006,6,5200,475,330,2039,1182,234,1027,264,274,85,95,3650,290,5133000
2006,7,4905,480,380,2017,1036,220,936,270,250,90,85,3475,285,5133000
2006,8,5780,575,390,2343,1229,275,1144,270,325,100,95,3910,320,5133000
2006,9,4880,465,335,1987,1016,240,951,235,275,95,80,3415,255,5133000
2006,10,5380,495,335,2232,1171,240,1011,275,280,90,80,3900,290,5133000
2006,11,4830,505,340,2048,1064,235,879,230,230,85,60,3790,285,5133000
2006,12,3195,330,230,1473,669,135,494,145,150,65,65,2465,210,5133000
2007,1,5165,445,285,2069,1142,245,1002,240,276,100,90,3495,295,5170000
2007,2,4985,415,280,2004,1112,244,937,244,249,110,85,3640,265,5170000
2007,3,4975,420,300,1993,1049,260,959,235,275,105,100,3865,310,5170000
2007,4,4630,405,290,1818,984,231,889,236,251,115,105,3205,225,5170000
2007,5,5010,515,360,1995,1055,260,905,285,285,120,105,3660,280,5170000
2007,6,4860,485,325,1867,1026,265,936,255,255,135,120,3590,315,5170000
2007,7,4840,555,345,1920,1070,225,840,270,240,140,135,3495,265,5170000
2007,8,5195,525,315,1946,1158,286,953,281,301,135,135,3725,240,5170000
2007,9,4250,445,255,1607,901,225,861,205,240,100,110,3000,210,5170000
2007,10,4995,525,295,1985,1035,300,930,230,275,130,110,3595,265,5170000
2007,11,4765,425,240,1850,1045,235,895,235,290,100,115,3560,230,5170000
2007,12,3160,320,185,1297,656,160,561,155,195,70,65,2450,205,5170000
2008,1,5430,490,285,2056,1153,284,1068,289,314,140,125,3415,195,5202900
2008,2,5295,505,300,2027,1071,290,1031,255,350,130,140,3785,265,5202900
2008,3,4835,420,235,1863,1009,285,909,235,310,110,115,3680,205,5202900
2008,4,5215,525,300,2095,1055,300,970,260,270,130,135,3645,240,5202900
2008,5,4775,450,270,1893,1024,245,919,245,250,110,90,3580,240,5202900
